"Week 4: Data, Research & Field Observation (Jan 19 – 24)",,,,,
Focus: Understanding current behavior and preparing the foundation.,,,,,
Day,Rediet ,Rediet/ Sales Manger ,Dagim,Abel,Ephrem 
Wed,Data Review: Lead deep review of SGL data (freq/size/value).,Data Extraction: Clean SGL data. Rank by orders/reliability.,Research: Deep dive into companies with similar SGL models.,Research: Deep dive into companies with similar SGL models.,Research: Deep dive into companies with similar SGL models.
Thu,Field Prep: Lead internal discussion on field observation goals.,Field Visit: Conduct site visits to see how customers order in groups.,Observation: Document how informal group leaders work in neighborhoods.,Research: Deep dive into companies with similar SGL models.,Scripting: Draft scripts for SGL Tutorial videos.
Fri,Strategy: Prepare the Pickup Location Strategy document.,Target ID: Identify high-frequency B2C customers who order for others.,Synthesis: Summarize field observation insights & informal leader behavior.,Prepare SGL designs slide how to tutorials ,Tutorials: Record voiceovers and screen-record tutorials for SGLs.
Sat,Ops Sync: Discuss how Sales/Customer service teams will handle migration.,Planning: Brainstorm pickup location project logistics with the Head.,Benchmark: Finalize research report on similar business models.,Finalize SGL designs slide how to tutorials ,Editing: Edit and finalize the first SGL Tutorial videos.
,,,,,
"Week 5: Strategy, Rules & Value Prop (Jan 26 – 31)",,,,,
"Focus: Defining the ""Product"" and the ""Deal.""",,,,,
,,,,,
Day,Marketing Head (YOU),Sales Manager,Social Media Mgr,Graphics Designer,Video Editor
Mon,Operating Model: Define who qualifies as an SGL (Rules/Criteria).,Model Prep: Define min/max group sizes and ordering responsibilities.,"Value Prop: Draft SGL benefits (earnings, commission, status).","Digital Flyer: Design ""Earnings & Commission"" digital flyer for SGLs.",Content Prep: Prepare tutorial updates based on the new model rules.
Tue,Delivery Flow: Define the bulk delivery flow from warehouse to SGL.,Flow Mapping: Map out specific SGL duties from order to delivery.,"Value Prop: Draft customer benefits (price, delivery, convenience).","Digital Flyer: Design ""Neighbor Benefit"" flyer (Save Money/Freshness).","Video Edit: Create ""How the Flow Works"" short video for leaders."
Wed,Finance Logic: Finalize 10% Margin logic and 5% Commission math.,Site Activity: Plan the schedule for approaching customers for pickup spots.,Copywriting: Finalize all Value Prop messaging for SGLs and Customers.,Infographic: Design a digital flyer showing the 5% vs 10% logic.,"Video Edit: Finalize ""Level 1"" online onboarding video tutorial."
Thu,Onboarding: Design Level 1 (Online) vs. Level-Up (In-person) structure.,Outreach: Start site activity: Approach customers to become pickup leaders.,"Onboarding Copy: Write the training manual for ""Level-Up"" in-person training.","Digital Flyer: Design ""Level 1 Onboarding"" step-by-step flyer.","Video Edit: Create ""Level-Up"" training video snippets for WhatsApp."
Fri,Site Review: Lead discussion on customer response to pickup location pitch.,Migration Prep: Align with CS team on migration scripts and tools.,Final Polish: Review and finalize all Value Prop and Model definitions.,"Digital Flyer: Design ""Pickup Location"" digital signage/stickers.",Finalization: Ensure all Tutorial videos match the finalized logic.
Sat,"Wrap-Up: Prepare full strategy deck (Model, Math, Onboarding) ",Reporting: Consolidate site activity results and interest levels.,Weekly Report: Update KPIs on SGL targets and Value Prop readiness.,Asset Pack: Organize all digital flyers for the Sales team to use.,Library: Finalize the full SGL Tutorial Video library.
,,,,,
Week 6: Validation & Pilot Test (Feb 02 – 07),,,,,
Focus: Sign-off and Live Testing.,,,,,
,,,,,
Day,Marketing Head (YOU),Sales Manager,Social Media Mgr,Graphics Designer,Video Editor
Mon,Validation: Present and validate the full SGL strategy with Leadership.,Execution Prep: Prepare the internal execution plan for Sales/CS teams.,Teaser Prep: Prepare promotion phase content based on the plan.,"Digital Flyer: Design ""Special Launch Price"" digital flyers.","Capture: Film the ""Validation Meeting"" highlights for internal use."
Tue,Strategy Approval: Get final approval to move to the Promotion Phase.,System Sync: Align with Ops/Tech to ensure onboarding system is ready.,"Content Plan: Finalize the ""Promotion Phase"" social media schedule.",Digital Flyer: Design flyers for the first 5 test pickup locations.,"Edit: Produce ""Launching Tomorrow"" teaser for social media."
Wed,"Ops Readiness: Final review of the execution plan (Onboarding, System, Ops).",Site Prep: Coordinate with the first 5 SGL test locations.,"Communication: Draft the ""Go-Live"" SMS/Push notifications for B2C users.","Digital Flyer: Design ""How to order from your Leader"" flyer.","Prep: Prepare ""Live Support"" video clips for the pilot."
Thu,Test Launch: Initiate the first test pickup location deliveries.,Onboarding: Execute Level 1 & Level-Up onboarding for pilot leaders.,Promotion: Launch first set of SGL promotion posts (Phase 1).,"Digital Flyer: Create real-time ""Success"" flyers for the pilot sites.",Capture: Film the first successful pickup location delivery.
Fri,Pilot Monitoring: Oversee pilot location flow and gather margin/ops data.,Field Support: Provide on-site support at the first pickup locations.,Engagement: Monitor responses to the promotion launch.,Refinement: Adjust flyer designs based on pilot customer feedback.,Capture: Record testimonials from the first pilot leaders.
Sat,Pilot Review: Lead strategy review based on pilot test results.,Execution Audit: Identify ops/system gaps from the pilot.,Reporting: Prepare the pilot performance report for Leadership.,Final Polish: Finalize the digital flyer templates for full scale-up.,"Pilot Wrap: Edit the ""Pilot Success"" proof-of-concept video."