Timestamp,Which best describes you? ,Where do you usually receive and distribute orders?  ,What motivates you most to become an SGL?  , What is your biggest challenge when handling group orders today?  ,What should we improve to make your work easier as an SGL?  , How many people do you realistically think you can manage in a group?  ,Sales Name,,,,,
2/5/2026 23:16:07,Housewife,From my home,Easier ordering and delivery,Other,Better prices,5 - 10,,,Who are our customers ,,,Biggest Challenge 
2/5/2026 23:18:15,Housewife,From my home,Other,Packaging,Better packaging options,5 - 10,,,,,,
2/5/2026 23:19:13,Housewife,From my home,Extra income,Other,Faster delivery,5 - 10,,,,,,
2/5/2026 23:19:57,Housewife,From my home,Extra income,Delivery delay,Better packaging options,5 - 10,,,,,,
2/5/2026 23:20:49,Other (please specify),From my home,Discount on products,Product quality,Training / guidance,5 - 10,,,,,,
2/5/2026 23:21:51,Housewife,From my home,Extra income,Price,Better prices,5 - 10,,,,,,
2/5/2026 23:23:06,Housewife,From my home,Discount on products,Product quality,Better packaging options,5 - 10,,,,,,
2/5/2026 23:32:10,Small trader / reseller,From my shop,Extra income,Price,Financial Support,15 - 20,,,,,,
2/6/2026 9:40:44,Other (please specify),From my home,Other,Product quality,Better prices,5 - 10,,,,,,
2/6/2026 10:19:38,Small trader / reseller,From my home,Discount on products,Product quality,Clear communication,5 - 10,,,,,,
2/6/2026 10:30:39,Employee / Part time Worker,From my home,Extra income,Packaging,Clear communication,30 - 50,,,Why they become SGL,,,What They are expecting from ChipChip
2/6/2026 11:06:16,Small trader / reseller,From my home,Helping my community / neighbors,Delivery delay,Clear communication,5 - 10,,,,,,
2/6/2026 11:21:06,Housewife,From my home,Discount on products,Packaging,Better packaging options,5 - 10,,,,,,
2/6/2026 11:24:42,Employee / Part time Worker,From my home,Helping my community / neighbors,Product quality,Faster delivery,15 - 20,,,,,,
2/6/2026 11:53:01,Housewife,From my home,Discount on products,Product quality,Faster delivery,5 - 10,Helen,,,,,
2/6/2026 11:54:50,Small trader / reseller,From my home,Easier ordering and delivery,Price,Faster delivery,5 - 10,Abebual,,,,,
2/6/2026 11:55:30,Housewife,From my home,Extra income,Communication with customers,Faster delivery,15 - 20,Zebu,,,,,
2/6/2026 11:56:04,Housewife,From my home,Discount on products,Product quality,Financial Support,5 - 10,Fatuma,,,,,
2/6/2026 11:56:38,Small trader / reseller,From my home,Extra income,Price,Financial Support,15 - 20,Abdulfeta,,,,,
2/6/2026 11:57:24,Housewife,From my home,Discount on products,Price,Training / guidance,5 - 10,Biniyam,,,,,
2/6/2026 11:58:04,Housewife,From my home,Discount on products,Price,Better prices,5 - 10,Addis alem,,,,,
2/6/2026 11:58:38,Housewife,From my home,Helping my community / neighbors,Delivery delay,Financial Support,5 - 10,Aregash,,,,,
2/6/2026 11:59:07,Housewife,From my home,Helping my community / neighbors,Product quality,Better prices,5 - 10,Almaz,,,Group Capacity ,,
2/6/2026 11:59:53,Employee / Part time Worker,From my home,Discount on products,Product quality,Training / guidance,5 - 10,Brtukan,,,,,
2/6/2026 12:07:50,Housewife,From my home,Discount on products,Product quality,Financial Support,5 - 10,wbshet,,,,,
2/6/2026 12:09:05,Housewife,From my home,Discount on products,Delivery delay,Financial Support,5 - 10,s,,,,,
2/6/2026 12:10:02,Housewife,From my home,Discount on products,Communication with customers,Training / guidance,5 - 10,tibeb,,,,,
2/6/2026 12:10:29,Housewife,From my home,Discount on products,Price,Financial Support,5 - 10,e,,,,,
2/6/2026 12:11:00,Housewife,From my home,Discount on products,Packaging,Training / guidance,5 - 10,e,,,,,
2/6/2026 12:17:53,Other (please specify),From my home,Discount on products,Price,Better prices,5 - 10,Yaref,,,,,
2/6/2026 12:18:42,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Yared,,,,,
2/6/2026 12:19:17,Employee / Part time Worker,From my shop,Discount on products,Product quality,Financial Support,5 - 10,Yared,,,,,
2/6/2026 12:19:30,Housewife,From my home,Discount on products,Product quality,Training / guidance,5 - 10,Dahi,,,,,
2/6/2026 12:19:54,Housewife,From my home,Discount on products,Delivery delay,Better prices,5 - 10,Yared,,,,,
2/6/2026 12:20:26,Small trader / reseller,From my home,Discount on products,Price,Better prices,5 - 10,Yaref,,,,,
2/6/2026 12:20:50,Employee / Part time Worker,From my shop,Discount on products,Delivery delay,Financial Support,5 - 10,Yared,,,,,
2/6/2026 12:21:55,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Yared,,,,,
2/6/2026 12:23:34,Housewife,From my shop,Discount on products,Product quality,Better prices,15 - 20,Yared,,,,,
2/6/2026 12:24:33,Housewife,From my home,Discount on products,Product quality,Better prices,15 - 20,Yared ,,,,,
2/6/2026 12:35:49,Housewife,From my home,Discount on products,Packaging,Other (please specify),5 - 10,solomon ,,,,,
2/6/2026 12:38:01,Housewife,From my home,Easier ordering and delivery,Delivery delay,Clear communication,30 - 50,Fikiralem kebede,,,,,
2/6/2026 13:09:15,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Getachew,,,,,
2/6/2026 13:10:07,Small trader / reseller,From my home,Other,Product quality,Better prices,15 - 20,Getachew,,,,,
2/6/2026 13:10:38,Employee / Part time Worker,From my home,Easier ordering and delivery,Price,Better prices,15 - 20,Getachee,,,,,
2/6/2026 13:11:02,Employee / Part time Worker,From my home,Extra income,Product quality,Better prices,15 - 20,Getachew,,,,,
2/6/2026 13:11:34,Housewife,From my home,Other,Product quality,Better prices,5 - 10,Getachew,,,,,
2/6/2026 13:12:07,Small trader / reseller,From my home,Other,Product quality,Better prices,15 - 20,Getachew,,,,,
2/6/2026 13:12:27,Housewife,From my home,Other,Other,Other (please specify),5 - 10,Getachew,,,,,
2/6/2026 13:12:58,Small trader / reseller,From my home,Extra income,Delivery delay,Training / guidance,5 - 10,Getachew,,,,,
2/6/2026 13:13:22,Small trader / reseller,From my home,Other,Product quality,Better prices,5 - 10,Getachew,,,,,
2/6/2026 13:14:55,Small trader / reseller,From my shop,Discount on products,Delivery delay,Faster delivery,30 - 50,Fikiralem kebede,,,,,
2/6/2026 13:15:41,Small trader / reseller,From my home,Extra income,Price,Better prices,30 - 50,Fikiralem kebede,,,,,
2/6/2026 13:15:48,Small trader / reseller,From my shop,Extra income,Product quality,Clear communication,30 - 50,hiba Gebrie,,,,,
2/6/2026 13:16:34,Employee / Part time Worker,From my home,Discount on products,Product quality,Faster delivery,30 - 50,Fimiralem kebede,,,,,
2/6/2026 13:17:23,Small trader / reseller,From my home,Discount on products,Product quality,Faster delivery,5 - 10,Aster dula,,,,,
2/6/2026 13:26:24,Small trader / reseller,From my home,Helping my community / neighbors,Packaging,Faster delivery,15 - 20,Aster dula,,,,,
2/6/2026 13:32:16,Housewife,From my home,Helping my community / neighbors,Communication with customers,Faster delivery,15 - 20,Hiba gebrie,,,,,
2/6/2026 13:36:34,Housewife,From my home,Helping my community / neighbors,Delivery delay,Faster delivery,5 - 10,Mola,,,,,
2/6/2026 13:39:29,Employee / Part time Worker,From my home,Discount on products,Packaging,Better prices,5 - 10,solomon ,,,,,
2/6/2026 13:41:43,Employee / Part time Worker,From my home,Extra income,Product quality,Better prices,5 - 10,solomon,,,,,
2/6/2026 13:42:34,Other (please specify),From my home,Extra income,Product quality,Better prices,5 - 10,solom,,,,,
2/6/2026 13:50:11,Housewife,From my home,Extra income,Price,Training / guidance,5 - 10,Aster dula,,,,,
2/6/2026 13:53:25,Employee / Part time Worker,From my home,Extra income,Price,Clear communication,5 - 10,Hiba gebrie,,,,,
2/6/2026 13:54:30,Housewife,From my home,Discount on products,Product quality,Faster delivery,5 - 10,Habtam,,,,,
2/6/2026 14:00:03,Housewife,From my home,Discount on products,Delivery delay,Financial Support,5 - 10,በቤተልሄም,,,,,
2/6/2026 14:02:15,Employee / Part time Worker,From my home,Easier ordering and delivery,Communication with customers,Faster delivery,5 - 10,Hiba gebrie,,,,,
2/6/2026 14:08:20,Employee / Part time Worker,From my home,Discount on products,Other,Clear communication,5 - 10,Glmbu,,,,,
2/6/2026 14:09:49,Employee / Part time Worker,From my home,Helping my community / neighbors,Product quality,Clear communication,15 - 20,Hiba gebrie,,,,,
2/6/2026 14:21:42,Employee / Part time Worker,From my home,Discount on products,Product quality,Faster delivery,5 - 10,Ramru,,,,,
2/6/2026 14:23:38,Housewife,From my home,Extra income,Product quality,Faster delivery,5 - 10,solomon,,,,,
2/6/2026 14:26:29,Other (please specify),From my home,Extra income,Product quality,Better prices,5 - 10,solomon,,,,,
2/6/2026 14:28:37,Other (please specify),From my home,Discount on products,Delivery delay,Financial Support,5 - 10,Aster dula,,,,,
2/6/2026 14:29:14,Employee / Part time Worker,From my shop,Extra income,Communication with customers,Financial Support,5 - 10,Hiba gebrie,,,,,
2/6/2026 14:30:50,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,solomon,,,,,
2/6/2026 14:31:44,Small trader / reseller,From my shop,Extra income,Product quality,Better prices,30 - 50,Aysha,,,,,
2/6/2026 14:31:53,Other (please specify),From my home,Extra income,Delivery delay,Training / guidance,5 - 10,Aster dula,,,,,
2/6/2026 14:34:48,Housewife,From my home,Extra income,Product quality,Faster delivery,5 - 10,Aster dula,,,,,
2/6/2026 14:40:44,Housewife,From my home,Easier ordering and delivery,Product quality,Better prices,5 - 10,Muktarke,,,,,
2/6/2026 14:44:00,Employee / Part time Worker,From my home,Extra income,Product quality,Faster delivery,5 - 10,Aster dula,,,,,
2/6/2026 14:45:53,Employee / Part time Worker,From my home,Easier ordering and delivery,Product quality,Faster delivery,5 - 10,Hanan,,,,,
2/6/2026 14:47:25,Employee / Part time Worker,From my home,Easier ordering and delivery,Product quality,Faster delivery,5 - 10,Mulunehitek,,,,,
2/6/2026 14:50:26,Small trader / reseller,From my shop,Extra income,Product quality,Better prices,30 - 50,eyob,,,,,
2/6/2026 15:01:14,Small trader / reseller,From my shop,Easier ordering and delivery,Product quality,Better prices,5 - 10,Bayulgn,,,,,
2/6/2026 15:01:47,Small trader / reseller,From my home,Extra income,Product quality,Better prices,15 - 20,Netsantet,,,,,
2/6/2026 15:07:26,Small trader / reseller,From my shop,Extra income,Product quality,Financial Support,30 - 50,Biniyam mengstu zelalem,,,,,
2/6/2026 15:14:01,Small trader / reseller,From my shop,Extra income,Product quality,Better prices,5 - 10,Andinet,,,,,
2/6/2026 15:16:12,Housewife,From my home,Helping my community / neighbors,Price,Other (please specify),15 - 20,Ayano,,,,,
2/6/2026 15:16:18,Other (please specify),From my home,Extra income,Product quality,Faster delivery,5 - 10,Aster dula,,,,,
2/6/2026 15:17:21,Small trader / reseller,From my shop,Extra income,Price,Better prices,5 - 10,Fozias,,,,,
2/6/2026 15:17:34,Other (please specify),From my shop,Discount on products,Delivery delay,Faster delivery,5 - 10,Aster dula,,,,,
2/6/2026 15:20:26,Housewife,From my home,Extra income,Communication with customers,Clear communication,5 - 10,Biniyam mengstu,,,,,
2/6/2026 15:22:01,Small trader / reseller,From my shop,Easier ordering and delivery,Product quality,Better prices,5 - 10,Mar,,,,,
2/6/2026 15:22:45,Housewife,From my home,Extra income,Price,Better prices,5 - 10,Ayinadis,,,,,
2/6/2026 15:26:32,Housewife,From my home,Extra income,Packaging,Faster delivery,5 - 10,Biniyam mengstu,,,,,
2/6/2026 15:27:18,Other (please specify),From my home,Discount on products,Price,Better prices,5 - 10,Hana,,,,,
2/6/2026 15:32:36,Housewife,From my home,Discount on products,Price,Better prices,5 - 10,Workagegnew,,,,,
2/6/2026 15:36:37,Housewife,From my home,Discount on products,Delivery delay,Better prices,5 - 10,Aklilu,,,,,
2/6/2026 15:38:04,Housewife,From my home,Extra income,Packaging,Other (please specify),5 - 10,Biniyam mengstu,,,,,
2/6/2026 15:40:20,Other (please specify),From my home,Extra income,Packaging,Better prices,15 - 20,Biniyam mengstu,,,,,
2/6/2026 15:40:41,Housewife,From my home,Discount on products,Price,Better prices,5 - 10,Tsige,,,,,
2/6/2026 15:46:44,Other (please specify),From my home,Extra income,Other,Other (please specify),5 - 10,Biniyam mengstu,,,,,
2/6/2026 15:46:57,Housewife,From my home,Discount on products,Delivery delay,Better prices,5 - 10,Yodit gudeta,,,,,
2/6/2026 15:51:39,Other (please specify),From my home,Other,Packaging,Faster delivery,5 - 10,Biniyam mengstu,,,,,
2/6/2026 15:53:01,Housewife,From my home,Discount on products,Delivery delay,Better prices,5 - 10,Jery,,,,,
2/6/2026 15:59:56,Employee / Part time Worker,From my home,Discount on products,Delivery delay,Better prices,15 - 20,Said,,,,,
2/6/2026 16:06:08,Housewife,From my home,Discount on products,Delivery delay,Better prices,5 - 10,Aksumawit,,,,,
2/6/2026 16:14:43,Small trader / reseller,From my home,Other,Price,Better prices,15 - 20,Tigi,,,,,
2/6/2026 16:15:00,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Semira,,,,,
2/6/2026 16:15:23,Housewife,From my home,Discount on products,Other,Better prices,5 - 10,Rahel,,,,,
2/6/2026 16:17:13,Housewife,From my home,Extra income,Packaging,Faster delivery,5 - 10,Elsa,,,,,
2/6/2026 16:19:05,Other (please specify),From my home,Discount on products,Communication with customers,Better prices,5 - 10,Fasikaw,,,,,
2/6/2026 16:20:14,Small trader / reseller,From my shop,Discount on products,Price,Clear communication,15 - 20,Abush,,,,,
2/6/2026 16:28:32,Other (please specify),From my home,Extra income,Price,Financial Support,30 - 50,Bezabh,,,,,
2/6/2026 16:34:49,Small trader / reseller,From my home,Extra income,Communication with customers,Faster delivery,15 - 20,ምጥን መኮነን,,,,,
2/6/2026 16:52:49,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Elemi,,,,,
2/6/2026 16:53:58,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Eleni ,,,,,
2/6/2026 16:54:54,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Eleni,,,,,
2/6/2026 16:55:23,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Eleni,,,,,
2/6/2026 16:55:45,Small trader / reseller,From my shop,Discount on products,Packaging,Clear communication,15 - 20,blen,,,,,
2/6/2026 16:56:03,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Eleni,,,,,
2/6/2026 16:56:52,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Eleni,,,,,
2/6/2026 16:57:53,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Eleni,,,,,
2/6/2026 16:58:37,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Eleni,,,,,
2/6/2026 16:59:39,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Eleni,,,,,
2/6/2026 17:00:27,Housewife,From my home,Discount on products,Product quality,Better prices,15 - 20,Eleni,,,,,
2/6/2026 17:00:52,Housewife,From my home,Discount on products,Product quality,Financial Support,5 - 10,Eleni,,,,,
2/6/2026 17:01:45,Small trader / reseller,From my home,Discount on products,Product quality,Better prices,5 - 10,Eleni,,,,,
2/6/2026 17:07:09,Other (please specify),From my shop,Extra income,Delivery delay,Faster delivery,15 - 20,Mati,,,,,
2/6/2026 17:15:28,Housewife,From my home,Extra income,Price,Financial Support,5 - 10,Zebiba,,,,,
2/6/2026 17:20:12,Small trader / reseller,From my shop,Extra income,Product quality,Faster delivery,30 - 50,Denber,,,,,
2/6/2026 17:25:00,Employee / Part time Worker,From my home,Easier ordering and delivery,Packaging,Faster delivery,30 - 50,Azeb,,,,,
2/6/2026 17:35:10,Employee / Part time Worker,From my home,Extra income,Delivery delay,Faster delivery,30 - 50,Yemati,,,,,
2/6/2026 17:57:40,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 18:03:54,Housewife,From my home,Extra income,Product quality,Better prices,15 - 20,Firida shif,,,,,
2/6/2026 19:56:54,Housewife,From my home,Discount on products,Communication with customers,Financial Support,5 - 10,Mekdes chiferawe ,,,,,
2/6/2026 20:49:44,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:50:17,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Bethelhem yenealem ,,,,,
2/6/2026 20:51:11,Small trader / reseller,From my shop,Discount on products,Price,Faster delivery,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:51:34,Small trader / reseller,From my shop,Discount on products,Delivery delay,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:52:07,Small trader / reseller,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:52:35,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:53:07,Housewife,From my shop,Discount on products,Price,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:53:42,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:54:16,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,